flight_id,depature_city,arrival_city,depature_date,flight_time,aircraft_model,aircraft_seats,ticket_sold,ticket_amount
136661,Anapa,Belgorod,2017-01-01T09:27:00Z,0.8333333333333334,Sukhoi Superjet-100,97,96,759000.00
136420,Anapa,Moscow,2017-01-01T10:09:00Z,1.6666666666666665,Boeing 737-300,130,104,1542000.00
136936,Anapa,Belgorod,2017-01-02T09:28:00Z,0.8333333333333334,Sukhoi Superjet-100,97,82,632400.00
136458,Anapa,Moscow,2017-01-02T10:07:00Z,1.6666666666666665,Boeing 737-300,130,110,1568800.00
136546,Anapa,Novokuznetsk,2017-01-03T06:13:00Z,5.083333333333333,Boeing 737-300,130,,
136937,Anapa,Belgorod,2017-01-03T09:29:00Z,0.8333333333333334,Sukhoi Superjet-100,97,81,626100.00
136119,Anapa,Moscow,2017-01-03T10:08:00Z,1.6666666666666665,Boeing 737-300,130,113,1653000.00
136819,Anapa,Belgorod,2017-01-04T09:29:00Z,0.8333333333333334,Sukhoi Superjet-100,97,96,759000.00
136159,Anapa,Moscow,2017-01-04T10:07:00Z,1.6666666666666665,Boeing 737-300,130,115,1700600.00
136645,Anapa,Belgorod,2017-01-05T09:29:00Z,0.8333333333333334,Sukhoi Superjet-100,97,82,633000.00
136202,Anapa,Moscow,2017-01-05T10:07:00Z,1.6666666666666665,Boeing 737-300,130,100,1495600.00
136706,Anapa,Belgorod,2017-01-06T09:30:00Z,0.8333333333333334,Sukhoi Superjet-100,97,95,740100.00
136209,Anapa,Moscow,2017-01-06T10:09:00Z,1.6666666666666665,Boeing 737-300,130,112,1615200.00
136164,Anapa,Moscow,2017-01-07T10:07:00Z,1.6666666666666665,Boeing 737-300,130,120,1738400.00
136632,Anapa,Belgorod,2017-01-07T12:42:00Z,0.8333333333333334,Sukhoi Superjet-100,97,91,714300.00
136609,Anapa,Belgorod,2017-01-08T09:28:00Z,0.8333333333333334,Sukhoi Superjet-100,97,81,639300.00
136122,Anapa,Moscow,2017-01-08T10:08:00Z,1.6666666666666665,Boeing 737-300,130,97,1431000.00
136733,Anapa,Belgorod,2017-01-09T09:27:00Z,0.8333333333333334,Sukhoi Superjet-100,97,94,746400.00
136464,Anapa,Moscow,2017-01-09T10:07:00Z,1.6666666666666665,Boeing 737-300,130,100,1398000.00
136523,Anapa,Novokuznetsk,2017-01-10T06:14:00Z,5.083333333333333,Boeing 737-300,130,,
136586,Anapa,Belgorod,2017-01-10T09:28:00Z,0.8333333333333334,Sukhoi Superjet-100,97,96,759000.00
136423,Anapa,Moscow,2017-01-10T10:12:00Z,1.6666666666666665,Boeing 737-300,130,129,1849400.00
136366,Anapa,Moscow,2017-01-11T10:08:00Z,1.6666666666666665,Boeing 737-300,130,103,1527400.00
136855,Anapa,Belgorod,2017-01-11T12:07:00Z,0.8333333333333334,Sukhoi Superjet-100,97,87,702300.00
136758,Anapa,Belgorod,2017-01-12T09:26:00Z,0.8333333333333334,Sukhoi Superjet-100,97,97,765300.00
136316,Anapa,Moscow,2017-01-12T10:07:00Z,1.6666666666666665,Boeing 737-300,130,130,1886000.00
136871,Anapa,Belgorod,2017-01-13T09:28:00Z,0.8333333333333334,Sukhoi Superjet-100,97,97,765300.00
136275,Anapa,Moscow,2017-01-13T10:08:00Z,1.6666666666666665,Boeing 737-300,130,125,1825000.00
136781,Anapa,Belgorod,2017-01-14T09:26:00Z,0.8333333333333334,Sukhoi Superjet-100,97,97,765300.00
136185,Anapa,Moscow,2017-01-14T10:06:00Z,1.6666666666666665,Boeing 737-300,130,104,1520000.00
136709,Anapa,Belgorod,2017-01-15T09:28:00Z,0.8333333333333334,Sukhoi Superjet-100,97,87,689700.00
136172,Anapa,Moscow,2017-01-15T10:05:00Z,1.6666666666666665,Boeing 737-300,130,110,1617600.00
136907,Anapa,Belgorod,2017-01-16T09:31:00Z,0.8333333333333334,Sukhoi Superjet-100,97,96,759000.00
136282,Anapa,Moscow,2017-01-16T10:07:00Z,1.6666666666666665,Boeing 737-300,130,106,1518800.00
136540,Anapa,Novokuznetsk,2017-01-17T06:14:00Z,5.083333333333333,Boeing 737-300,130,,
136669,Anapa,Belgorod,2017-01-17T09:26:00Z,0.8333333333333334,Sukhoi Superjet-100,97,95,752700.00
136471,Anapa,Moscow,2017-01-17T10:11:00Z,1.6666666666666665,Boeing 737-300,130,120,1762800.00
136649,Anapa,Belgorod,2017-01-18T09:25:00Z,0.8333333333333334,Sukhoi Superjet-100,97,96,759000.00
136389,Anapa,Moscow,2017-01-18T10:10:00Z,1.6666666666666665,Boeing 737-300,130,129,1873800.00
136654,Anapa,Belgorod,2017-01-19T09:28:00Z,0.8333333333333334,Sukhoi Superjet-100,97,96,759000.00
136387,Anapa,Moscow,2017-01-19T10:08:00Z,1.6666666666666665,Boeing 737-300,130,121,1775000.00
136887,Anapa,Belgorod,2017-01-20T09:30:00Z,0.8333333333333334,Sukhoi Superjet-100,97,78,595200.00
136463,Anapa,Moscow,2017-01-20T10:06:00Z,1.6666666666666665,Boeing 737-300,130,122,1788400.00
136755,Anapa,Belgorod,2017-01-21T09:30:00Z,0.8333333333333334,Sukhoi Superjet-100,97,97,765300.00
136428,Anapa,Moscow,2017-01-21T10:08:00Z,1.6666666666666665,Boeing 737-300,130,115,1678600.00
136927,Anapa,Belgorod,2017-01-22T09:28:00Z,0.8333333333333334,Sukhoi Superjet-100,97,97,765300.00
136310,Anapa,Moscow,2017-01-22T10:07:00Z,1.6666666666666665,Boeing 737-300,130,117,1654200.00
136767,Anapa,Belgorod,2017-01-23T09:27:00Z,0.8333333333333334,Sukhoi Superjet-100,97,83,651300.00
136293,Anapa,Moscow,2017-01-23T10:09:00Z,1.6666666666666665,Boeing 737-300,130,114,1689600.00
136560,Anapa,Novokuznetsk,2017-01-24T06:13:00Z,5.083333333333333,Boeing 737-300,130,,
136838,Anapa,Belgorod,2017-01-24T09:30:00Z,0.8333333333333334,Sukhoi Superjet-100,97,86,670200.00
136345,Anapa,Moscow,2017-01-24T13:32:00Z,1.6666666666666665,Boeing 737-300,130,108,1517600.00
136571,Anapa,Belgorod,2017-01-25T09:28:00Z,0.8333333333333334,Sukhoi Superjet-100,97,95,752700.00
136383,Anapa,Moscow,2017-01-25T10:09:00Z,1.6666666666666665,Boeing 737-300,130,106,1493200.00
136720,Anapa,Belgorod,2017-01-26T09:29:00Z,0.8333333333333334,Sukhoi Superjet-100,97,95,752700.00
136436,Anapa,Moscow,2017-01-26T10:08:00Z,1.6666666666666665,Boeing 737-300,130,124,1811600.00
136757,Anapa,Belgorod,2017-01-27T09:30:00Z,0.8333333333333334,Sukhoi Superjet-100,97,97,765300.00
136485,Anapa,Moscow,2017-01-27T10:07:00Z,1.6666666666666665,Boeing 737-300,130,106,1520000.00
136678,Anapa,Belgorod,2017-01-28T09:27:00Z,0.8333333333333334,Sukhoi Superjet-100,97,80,631200.00
136131,Anapa,Moscow,2017-01-28T10:07:00Z,1.6666666666666665,Boeing 737-300,130,124,1812800.00
136729,Anapa,Belgorod,2017-01-29T09:29:00Z,0.8333333333333334,Sukhoi Superjet-100,97,88,695400.00
136178,Anapa,Moscow,2017-01-29T10:10:00Z,1.6666666666666665,Boeing 737-300,130,99,1434600.00
136642,Anapa,Belgorod,2017-01-30T09:28:00Z,0.8333333333333334,Sukhoi Superjet-100,97,64,531000.00
